Dealer_ID,Dealer_Name,Date,Time,Customer_Name,Customer_Email,Customer_Phone,Customer_City,Car_Brand,Car_Model,Car_Year,Car_Color,Price,Payment_Method,Salesperson_Name,Warranty_Period
1,Greene-Perkins,24-10-2024,22:48:23,Daryl Stanley,oramsey@yahoo.com,330.116.9119,New Sara,Toyota,Ground,2020,Silver,47078.71,Credit,Michael Kim,4
2,"Carrillo, Gonzalez and Hammond",25-09-2024,21:25:39,Anthony Price,joseyoung@hotmail.com,(285)378-5366x027,West Susanmouth,Audi,Act,2002,Blue,70382.59,Credit,Joseph Roberts,2
3,Salazar Group,27-10-2024,05:15:38,Jeffrey Cooper,dharrington@king.com,690-582-3624,Port Amber,Honda,Behind,2005,Gray,24543.01,Cash,Angela Powell,1
4,Hood and Sons,03-03-2024,00:37:40,Stephen Kelly,matthew57@lawrence-williams.com,(272)110-8562x014,South Amy,Toyota,Performance,2011,Black,46371.09,Loan,Amy Moreno,2
5,Wheeler LLC,15-01-2024,05:58:22,Jonathan Ramsey,alice74@moreno.com,5109246882,Martinezfurt,Audi,Job,2012,Silver,34599.27,Loan,Valerie White,1
6,"Smith, Glover and Lee",01-08-2024,12:22:39,Stephanie Glover,jameselliott@miller.org,9761223831,Hutchinsonport,Honda,Really,2015,Blue,60998.15,Credit,Sabrina Schwartz,5
7,Daniels and Sons,04-07-2024,02:37:25,Mike Farrell,john55@ayala-edwards.info,+1-415-961-6163x82568,Joelfort,Toyota,Weight,2004,Red,92758.71,Loan,Shannon Underwood,2
8,Miller-Sims,23-03-2024,01:48:11,Ricky Mcdonald,noahcarlson@hotmail.com,774.754.6035,Jamesberg,BMW,Design,2022,Gray,50444.8,Credit,Justin Downs,4
9,"Martinez, Walker and Perez",27-07-2024,13:34:01,Melanie Martinez,adrian19@gmail.com,001-385-766-0349x381,Lake Christopherberg,BMW,Shoulder,2015,Red,60535.96,Credit,Ryan White,4
10,"Hernandez, Goodwin and Richardson",06-03-2024,20:03:10,Joshua Johnson,ysimmons@yahoo.com,+1-916-766-6317x85433,Jenniferview,Audi,Summer,2002,Blue,36015.61,Cash,Michael Hooper,1
11,"Hernandez, Ayala and James",18-05-2024,11:50:51,Lisa Harrington,christinanelson@holden.com,165.055.8879x576,Hardingfurt,Honda,Anything,2007,Red,56400.72,Credit,Lawrence Brown,1
12,Blackwell-Vega,23-04-2024,18:05:13,Brandon Olsen,gomezkimberly@cook-ali.com,(016)751-2890,Hallmouth,Honda,Season,2007,Gray,63441.75,Cash,Mary Dawson,1
13,"Roberts, Hernandez and Perry",13-02-2024,05:22:27,Jessica Anderson,stevensellers@gmail.com,8093835155,Turnerberg,Ford,People,2004,Blue,32787.14,Cash,Jesus Smith,1
14,Holmes-Harris,28-07-2024,02:49:33,Robert George,nicholsshannon@gmail.com,(036)003-6943x8007,Morganport,Toyota,Drive,2021,Silver,31266.96,Cash,Daniel Johnson,2
15,White Group,17-02-2024,09:28:06,Kevin Cole,jaime59@soto.org,421222939,Lake Katherinehaven,Audi,No,2011,Silver,22316.16,Loan,Mary Young,3
16,Sheppard LLC,23-02-2024,13:47:25,Richard Bell,washingtonpatricia@hotmail.com,-7237,Lake Hannahton,Ford,Audience,2021,Silver,89902.17,Loan,Brandon Coleman,2
17,"Gonzalez, Koch and Lee",03-05-2024,03:40:20,Alan Perkins,christopherrichardson@martin.org,342-391-4986x02153,Philliptown,Toyota,Lot,2008,Black,43760.49,Cash,Samantha Carrillo,5
18,"Adams, Ruiz and Brooks",02-10-2024,00:28:25,Kenneth Wilson,dkim@freeman-gonzalez.com,426.700.8677x0757,Michaelhaven,Honda,Color,2022,White,60790.7,Credit,Paul Simpson,1
19,"Esparza, Barnes and Baker",12-02-2024,13:02:18,Teresa Mccarthy,jennifer98@martin.com,706-874-5286x4446,New Bradbury,Toyota,Right,2008,Black,43776.65,Cash,Andrea Thompson,1
20,"Rogers, Andersen and Carlson",19-01-2024,21:48:15,Thomas Murphy,gary60@newman.com,(137)843-3077x7711,Port Shelbyberg,Toyota,Bar,2014,Blue,98355.42,Credit,Jason Johnson,2
21,"Greer, Cox and Fleming",03-05-2024,08:23:30,Alexandra Rivas,anna29@estes.com,337.272.2160x844,Lake Scott,BMW,Military,2018,Silver,24268.68,Credit,William Sawyer,4
22,"Schroeder, Castillo and Allen",28-06-2024,08:23:08,Melissa Andrade,mclaughlinbarbara@yahoo.com,(497)044-5647x5260,Lake Derekville,Toyota,Fire,2019,Blue,99207.25,Loan,Brett Ramsey,1
