Transaction_ID,Date,Time,Customer_Name,Mobile_Brand,Model,Price,Quantity,Payment_Method,Salesperson_Name,Store_Location,Warranty_Years,Accessories_Purchased,Customer_Feedback,Discount_Applied
1,2024-11-28,15:21:00,Jane Smith,OnePlus,OnePlus Ace,510.08,1,Card,Claire Williams,Midtown,1,Charger,1,53.51
2,2024-04-21,17:40:00,John Doe,Vivo,Y200,276.46,3,Card,Emma Brown,Downtown,1,Charger,1,153.33
3,2024-07-11,11:51:00,Bob White,Oppo,Find X6 Pro,1026.63,1,Online,Alice Smith,Suburban,3,Screen Protector,3,8.82
4,2024-07-07,14:13:00,Mike Brown,Vivo,X100 Pro,833.45,2,Card,David Lee,Uptown,3,Charger,1,18.6
5,2024-12-18,15:07:00,John Doe,Xiaomi,Poco X5 Pro,964.79,2,Cash,Emma Brown,Uptown,1,Screen Protector,1,46.63
6,2024-05-29,18:27:00,Mike Brown,Apple,iPhone 15 Pro,284.85,2,Card,David Lee,Suburban,3,Charger,2,153.2
7,2024-03-02,10:36:00,Jane Smith,Xiaomi,Mi 13 Ultra,1326.13,2,Online,Claire Williams,Suburban,3,Headphones,4,62.47
8,2024-05-13,12:26:00,Jane Smith,Oppo,Reno 10,1020.98,1,Online,Bob Johnson,Uptown,2,None,3,144.42
9,2024-04-27,14:40:00,Sarah Black,Samsung,Galaxy S23,1338.2,2,Cash,Bob Johnson,Uptown,3,Screen Protector,3,199.4
10,2024-09-29,20:50:00,Sarah Black,OnePlus,OnePlus Ace,943.82,3,Online,Alice Smith,Midtown,3,Screen Protector,2,14.66
11,2024-01-20,19:39:00,Alice Green,Samsung,Galaxy A14,513.92,1,Cash,David Lee,Uptown,3,Headphones,5,181.64
12,2024-11-06,16:26:00,Mike Brown,Apple,iPhone 15 Pro,821.51,2,Online,Claire Williams,Uptown,1,Charger,4,95.02
13,2024-06-14,09:10:00,Bob White,Oppo,A78,676.87,2,Online,Alice Smith,Downtown,3,Screen Protector,2,46.38
14,2024-08-23,10:09:00,Sarah Black,Xiaomi,Mi 13 Ultra,1137.89,2,Online,Emma Brown,Midtown,2,Headphones,3,182.17
15,2024-07-30,12:05:00,Bob White,Xiaomi,Mi 13 Ultra,1054.24,2,Cash,Alice Smith,Uptown,3,Charger,5,88.98
16,2024-07-20,20:32:00,Alice Green,Samsung,Galaxy Z Fold 5,1472.63,1,Online,David Lee,Uptown,2,Headphones,1,78.61
17,2024-02-03,18:48:00,Alice Green,OnePlus,OnePlus 11,1011.86,2,Cash,Bob Johnson,Downtown,3,Charger,3,75.12
18,2024-08-03,18:53:00,Mike Brown,Samsung,Galaxy S23,1196.65,2,Card,David Lee,Midtown,2,Screen Protector,5,128.4
19,2024-05-10,10:04:00,Alice Green,OnePlus,OnePlus 11,829.94,2,Cash,Bob Johnson,Uptown,3,Screen Protector,1,105.61
20,2024-06-18,20:09:00,John Doe,Xiaomi,Poco X5 Pro,1045.61,2,Card,David Lee,Uptown,2,Charger,4,10.32
21,2024-12-02,12:28:00,John Doe,Apple,iPhone 14,1310.63,1,Cash,Alice Smith,Midtown,1,Headphones,1,2.03
22,2024-11-13,20:49:00,Mike Brown,Apple,iPhone 14,1223.17,2,Online,David Lee,Uptown,1,Screen Protector,2,108.85
23,2024-08-09,11:24:00,Sarah Black,Oppo,A78,633.52,1,Cash,Claire Williams,Midtown,1,Headphones,4,94.3
24,2024-02-08,14:30:00,Alice Green,Apple,iPhone 14,1418.44,2,Card,Bob Johnson,Suburban,2,None,4,118.39
25,2024-10-19,16:02:00,Sarah Black,Oppo,Reno 10,995.62,3,Card,Alice Smith,Midtown,2,Charger,5,142.54
26,2024-08-15,18:55:00,Sarah Black,Samsung,Galaxy S23,1035.56,2,Cash,Emma Brown,Uptown,3,Headphones,5,65.03
27,2024-03-08,12:49:00,John Doe,OnePlus,Nord CE 3 Lite,480.38,1,Cash,Bob Johnson,Suburban,2,Headphones,1,156.18
28,2024-09-17,10:28:00,Jane Smith,Vivo,Y200,1090.78,1,Card,Bob Johnson,Suburban,2,Screen Protector,3,190.78
29,2024-12-10,15:44:00,Bob White,Xiaomi,Mi 13 Ultra,366.77,2,Online,Alice Smith,Suburban,1,None,1,148.87
30,2024-08-02,13:04:00,Sarah Black,Apple,iPhone SE 2024,270.54,3,Online,David Lee,Suburban,1,Charger,3,184.32
31,2024-03-11,12:10:00,Mike Brown,Samsung,Galaxy A14,1401.7,1,Card,Claire Williams,Midtown,3,None,4,179.73
32,2024-11-14,18:07:00,Mike Brown,Oppo,A78,454.88,2,Card,Emma Brown,Midtown,2,Charger,5,17.82
33,2024-02-28,13:35:00,Alice Green,Xiaomi,Mi 13 Ultra,1478.83,2,Card,David Lee,Suburban,2,Headphones,1,113.53
34,2024-12-08,20:04:00,Mike Brown,Apple,iPhone 14,1328.95,3,Online,Claire Williams,Suburban,1,Headphones,4,2.64
35,2024-12-05,18:55:00,Bob White,Xiaomi,Redmi Note 13,336.12,3,Cash,Claire Williams,Midtown,2,Screen Protector,5,114.04
36,2024-08-02,10:44:00,Jane Smith,Vivo,Y200,783.75,1,Cash,David Lee,Suburban,3,None,3,189.76
37,2024-04-03,19:09:00,Alice Green,Oppo,A78,791.68,2,Cash,Emma Brown,Suburban,3,Screen Protector,4,143.1
38,2024-04-27,10:50:00,Jane Smith,Apple,iPhone 15 Pro,1410.16,1,Card,Alice Smith,Uptown,3,Charger,5,149.86
39,2024-04-27,11:06:00,Sarah Black,Xiaomi,Mi 13 Ultra,850.81,1,Card,Bob Johnson,Suburban,3,None,2,183.57
40,2024-07-19,15:55:00,Alice Green,Xiaomi,Poco X5 Pro,1107.85,1,Cash,Alice Smith,Midtown,2,Headphones,3,111.71
41,2024-01-21,12:31:00,Jane Smith,Oppo,A78,703.29,2,Cash,David Lee,Uptown,3,Charger,5,90.46
42,2024-06-29,15:07:00,Alice Green,Samsung,Galaxy A14,1451.64,2,Card,Emma Brown,Downtown,1,None,5,15.33
43,2024-12-31,20:26:00,Bob White,Samsung,Galaxy S23,1242.16,3,Card,Emma Brown,Downtown,1,None,2,110.65
44,2024-08-25,18:52:00,Mike Brown,OnePlus,OnePlus Ace,563.24,2,Online,Claire Williams,Suburban,1,Charger,2,157.98
45,2024-04-07,18:45:00,Mike Brown,Xiaomi,Redmi Note 13,983.86,1,Online,Claire Williams,Downtown,2,Screen Protector,4,133.65
46,2024-07-11,13:55:00,Mike Brown,Oppo,A78,556.29,2,Online,Claire Williams,Uptown,2,Screen Protector,5,28.96
47,2024-10-17,11:38:00,Alice Green,Apple,iPhone SE 2024,330.21,1,Card,David Lee,Uptown,3,Screen Protector,1,103.22
48,2024-12-16,14:59:00,Jane Smith,OnePlus,OnePlus 11,984.05,3,Card,David Lee,Uptown,1,Charger,5,44.54
49,2024-10-12,16:14:00,Sarah Black,OnePlus,OnePlus 11,855.75,2,Cash,Alice Smith,Uptown,2,Headphones,4,112.29
50,2024-05-14,20:18:00,Mike Brown,Apple,iPhone SE 2024,1166.03,2,Online,Alice Smith,Midtown,2,Headphones,3,78.49
51,2024-06-09,13:02:00,Jane Smith,Xiaomi,Poco X5 Pro,260.59,2,Online,Alice Smith,Downtown,3,Screen Protector,5,123.34
52,2024-04-29,20:22:00,Sarah Black,OnePlus,OnePlus Ace,965.97,1,Online,Emma Brown,Midtown,3,Headphones,1,184.4
53,2024-03-24,20:42:00,Mike Brown,Xiaomi,Poco X5 Pro,598.63,3,Online,Claire Williams,Suburban,2,Headphones,3,105.84
54,2024-05-15,14:02:00,Sarah Black,Oppo,A78,1152.37,1,Cash,Emma Brown,Suburban,2,Headphones,1,176.68
55,2024-08-04,16:01:00,Sarah Black,Vivo,V29 Pro,811.97,2,Online,Alice Smith,Downtown,1,Headphones,4,40.09
56,2024-12-18,10:50:00,Alice Green,Apple,iPhone SE 2024,493.94,3,Cash,Claire Williams,Midtown,1,Screen Protector,1,45.08
57,2024-11-25,17:30:00,John Doe,Samsung,Galaxy S23,1346.71,3,Online,Bob Johnson,Uptown,3,Screen Protector,2,164.46
58,2024-11-18,10:50:00,Sarah Black,Samsung,Galaxy A14,274.97,2,Online,David Lee,Midtown,2,Charger,4,121.66
59,2024-05-06,17:57:00,John Doe,Xiaomi,Redmi Note 13,1300.03,2,Online,Claire Williams,Suburban,2,Headphones,5,3.65
60,2024-05-13,17:33:00,Alice Green,Oppo,A78,971.08,3,Cash,Emma Brown,Suburban,1,Headphones,2,71.45
61,2024-01-03,15:55:00,Bob White,Apple,iPhone SE 2024,805.8,3,Online,Claire Williams,Uptown,2,Headphones,2,192.84
62,2024-10-22,16:34:00,Bob White,Apple,iPhone SE 2024,955.8,3,Cash,Bob Johnson,Suburban,1,Charger,3,169.68
63,2024-02-12,15:26:00,Alice Green,OnePlus,OnePlus Ace,525.21,2,Cash,Emma Brown,Uptown,3,Charger,2,146.89
64,2024-01-08,14:57:00,Mike Brown,Apple,iPhone 14,497.84,3,Cash,David Lee,Midtown,2,Charger,4,94.33
65,2024-07-03,18:30:00,Sarah Black,Apple,iPhone SE 2024,491.01,2,Cash,David Lee,Uptown,1,Charger,5,52.17
66,2024-11-11,11:04:00,Sarah Black,Oppo,Reno 10,328.16,1,Cash,Alice Smith,Suburban,2,None,5,107.71
67,2024-03-21,17:55:00,Sarah Black,Samsung,Galaxy Z Fold 5,1442.41,2,Card,David Lee,Midtown,1,Headphones,4,14.46
68,2024-09-07,20:31:00,John Doe,Xiaomi,Mi 13 Ultra,578.46,1,Cash,Claire Williams,Suburban,3,Screen Protector,1,166.03
69,2024-05-19,15:24:00,Alice Green,Apple,iPhone 14,1146.7,2,Card,Alice Smith,Midtown,1,Headphones,4,28.26
70,2024-03-09,12:37:00,Bob White,Xiaomi,Redmi Note 13,211.51,1,Cash,Emma Brown,Suburban,2,Charger,3,151.58
71,2024-09-11,12:59:00,Alice Green,Vivo,Y200,1306.16,1,Online,Alice Smith,Midtown,3,None,3,199.15
72,2024-09-19,15:41:00,Alice Green,Oppo,Find X6 Pro,791.7,1,Online,David Lee,Uptown,3,Charger,5,158.21
73,2024-05-15,11:45:00,Sarah Black,Vivo,Y200,1247.0,1,Cash,Claire Williams,Uptown,1,None,2,23.92
74,2024-07-12,18:48:00,Mike Brown,Oppo,A78,235.51,1,Online,Alice Smith,Uptown,3,None,2,153.3
75,2024-03-01,18:06:00,John Doe,OnePlus,Nord CE 3 Lite,535.46,1,Cash,Claire Williams,Uptown,3,None,5,11.26
76,2024-01-26,19:33:00,Alice Green,Xiaomi,Redmi Note 13,1387.45,1,Cash,Claire Williams,Midtown,3,Screen Protector,5,119.44
77,2024-11-22,10:29:00,Mike Brown,Oppo,A78,812.91,3,Card,Emma Brown,Midtown,1,Headphones,4,134.77
78,2024-09-28,19:43:00,Jane Smith,Oppo,Reno 10,990.41,1,Card,David Lee,Midtown,1,Screen Protector,4,5.52
79,2024-11-23,19:47:00,Mike Brown,Xiaomi,Mi 13 Ultra,725.65,1,Cash,Claire Williams,Suburban,3,Charger,4,163.11
80,2024-10-21,20:38:00,Sarah Black,Xiaomi,Redmi Note 13,1115.61,2,Online,Bob Johnson,Suburban,1,Screen Protector,1,131.9
81,2024-06-03,10:42:00,Bob White,OnePlus,OnePlus 11,1292.97,2,Cash,Claire Williams,Midtown,1,Charger,4,144.8
82,2024-01-03,10:38:00,John Doe,Apple,iPhone SE 2024,1320.43,1,Card,Alice Smith,Suburban,1,Headphones,2,186.01
83,2024-10-10,17:54:00,Alice Green,Xiaomi,Mi 13 Ultra,765.01,2,Cash,Alice Smith,Downtown,3,Headphones,4,163.46
84,2024-10-28,19:56:00,Alice Green,Oppo,Reno 10,1148.05,2,Cash,Emma Brown,Midtown,3,None,4,119.63
85,2024-04-16,17:39:00,Mike Brown,Oppo,Find X6 Pro,322.33,2,Online,Alice Smith,Suburban,1,None,4,166.05
86,2024-08-02,14:53:00,Sarah Black,OnePlus,Nord CE 3 Lite,1495.71,1,Cash,Claire Williams,Suburban,2,Charger,2,179.21
87,2024-09-12,11:15:00,Jane Smith,Apple,iPhone 15 Pro,232.19,3,Online,Claire Williams,Downtown,3,Headphones,2,65.18
88,2024-01-10,20:01:00,Sarah Black,Apple,iPhone 14,602.22,1,Card,Alice Smith,Suburban,1,Headphones,2,141.66
89,2024-05-05,16:20:00,Bob White,Xiaomi,Redmi Note 13,293.51,2,Cash,Bob Johnson,Uptown,3,None,4,26.91
90,2024-04-06,14:06:00,Sarah Black,Samsung,Galaxy Z Fold 5,340.83,3,Cash,Emma Brown,Uptown,2,None,1,193.59
91,2024-03-22,19:08:00,Bob White,Vivo,V29 Pro,454.81,1,Card,Claire Williams,Uptown,2,None,3,182.52
92,2024-09-27,18:25:00,John Doe,Apple,iPhone SE 2024,1228.57,2,Cash,Claire Williams,Uptown,2,Screen Protector,2,177.83
93,2024-01-21,11:31:00,Jane Smith,Vivo,Y200,582.64,2,Online,Claire Williams,Suburban,2,None,5,183.3
94,2024-07-26,09:51:00,John Doe,Oppo,Reno 10,218.0,1,Card,Alice Smith,Midtown,2,None,4,4.9
95,2024-11-03,19:18:00,Alice Green,OnePlus,OnePlus 11,590.68,2,Online,Bob Johnson,Uptown,1,Headphones,3,2.05
96,2024-07-06,10:15:00,Mike Brown,Samsung,Galaxy Z Fold 5,226.38,3,Card,Claire Williams,Downtown,3,Screen Protector,1,194.22
97,2024-12-24,14:58:00,John Doe,Oppo,Find X6 Pro,987.36,1,Card,Alice Smith,Midtown,2,Screen Protector,4,77.85
98,2024-06-30,16:07:00,Alice Green,Apple,iPhone 14,365.65,1,Online,Alice Smith,Midtown,2,Charger,3,186.87
99,2024-04-12,16:06:00,John Doe,Vivo,Y200,1342.23,2,Cash,Emma Brown,Uptown,1,Headphones,5,41.16
100,2024-12-04,18:55:00,Alice Green,Vivo,Y200,1481.39,3,Cash,Alice Smith,Uptown,3,Screen Protector,2,153.68
101,2024-01-07,19:56:00,Alice Green,Samsung,Galaxy A14,244.96,1,Cash,Bob Johnson,Midtown,2,Screen Protector,2,7.06
102,2024-12-06,15:32:00,John Doe,Samsung,Galaxy Z Fold 5,1312.54,3,Card,David Lee,Midtown,2,Charger,3,187.47
103,2024-04-30,15:30:00,Jane Smith,OnePlus,OnePlus Ace,1222.95,2,Card,David Lee,Downtown,1,Screen Protector,4,106.76
104,2024-05-20,15:36:00,Jane Smith,Xiaomi,Redmi Note 13,904.1,3,Cash,Bob Johnson,Uptown,3,Headphones,3,160.99
105,2024-02-28,12:21:00,Bob White,Vivo,V29 Pro,776.34,1,Online,Bob Johnson,Uptown,1,None,5,30.06
106,2024-05-14,09:37:00,Mike Brown,Xiaomi,Mi 13 Ultra,983.55,3,Cash,Emma Brown,Midtown,1,Charger,1,118.75
107,2024-01-01,14:44:00,Alice Green,OnePlus,OnePlus 11,423.47,2,Cash,Bob Johnson,Suburban,2,Charger,5,61.34
108,2024-10-01,16:59:00,Sarah Black,OnePlus,OnePlus Ace,1052.5,3,Cash,Alice Smith,Uptown,3,Screen Protector,1,151.68
109,2024-04-25,15:46:00,Bob White,Xiaomi,Poco X5 Pro,376.79,3,Online,Emma Brown,Suburban,2,Charger,3,111.18
110,2024-02-20,13:41:00,Bob White,Xiaomi,Mi 13 Ultra,917.92,3,Cash,Claire Williams,Downtown,3,Headphones,2,173.9
111,2024-10-26,19:33:00,Jane Smith,Xiaomi,Redmi Note 13,599.54,1,Online,David Lee,Downtown,2,Headphones,3,28.88
112,2024-09-02,11:21:00,Mike Brown,OnePlus,OnePlus Ace,444.52,2,Card,David Lee,Downtown,3,Screen Protector,3,99.3
